Dödsorsaksstatistik, Antal döda, X60-X84 Avsiktligt självdestruktiv handling (självmord), Riket, Ålder: 0-95+
År;Kön;Ålder;Antal döda
1999;Män;65­69;55
1999;Män;70­74;51
1999;Män;75­79;52
1999;Män;80­84;40
1999;Män;85­89;22
1999;Män;90­94;6
1999;Män;95+;1
1999;Kvinnor;0­4;­­
1999;Kvinnor;5­9;­­
1999;Kvinnor;10­14;­­
1999;Kvinnor;15­19;13
1999;Kvinnor;20­24;19
1999;Kvinnor;25­29;22
1999;Kvinnor;30­34;23
1999;Kvinnor;35­39;23
1999;Kvinnor;40­44;45
1999;Kvinnor;45­49;37
1999;Kvinnor;50­54;36
1999;Kvinnor;55­59;23
1999;Kvinnor;60­64;26
1999;Kvinnor;65­69;18
1999;Kvinnor;70­74;21
1999;Kvinnor;75­79;20
1999;Kvinnor;80­84;19
1999;Kvinnor;85­89;9
1999;Kvinnor;90­94;4
1999;Kvinnor;95+;­­
1998;Män;0­4;­­
1998;Män;5­9;­­
1998;Män;10­14;2
1998;Män;15­19;15
1998;Män;20­24;42
1998;Män;25­29;55
1998;Män;30­34;63
1998;Män;35­39;76
1998;Män;40­44;68
1998;Män;45­49;85
1998;Män;50­54;95
1998;Män;55­59;91
1998;Män;60­64;60
1998;Män;65­69;53
1998;Män;70­74;46
1998;Män;75­79;62
1998;Män;80­84;36
1998;Män;85­89;22
1998;Män;90­94;8
1998;Män;95+;1
1998;Kvinnor;0­4;­­
1998;Kvinnor;5­9;­­
1998;Kvinnor;10­14;1
1998;Kvinnor;15­19;9
1998;Kvinnor;20­24;19
1998;Kvinnor;25­29;14
1998;Kvinnor;30­34;21
1998;Kvinnor;35­39;18
1998;Kvinnor;40­44;26
1998;Kvinnor;45­49;35
1998;Kvinnor;50­54;40
1998;Kvinnor;55­59;31
1998;Kvinnor;60­64;25
1998;Kvinnor;65­69;22
1998;Kvinnor;70­74;29
1998;Kvinnor;75­79;23
1998;Kvinnor;80­84;28
1998;Kvinnor;85­89;6
1998;Kvinnor;90­94;1
1998;Kvinnor;95+;1
1997;Män;0­4;­­
1997;Män;5­9;­­
1997;Män;10­14;3
1997;Män;15­19;9
1997;Män;20­24;54
1997;Män;25­29;56
1997;Män;30­34;69
1997;Män;35­39;79
1997;Män;40­44;88
1997;Män;45­49;85
1997;Män;50­54;81
1997;Män;55­59;81
1997;Män;60­64;50
1997;Män;65­69;49
1997;Män;70­74;46
1997;Män;75­79;41
1997;Män;80­84;35
1997;Män;85­89;20
1997;Män;90­94;9
1997;Män;95+;1
1997;Kvinnor;0­4;­­
1997;Kvinnor;5­9;­­
1997;Kvinnor;10­14;3
1997;Kvinnor;15­19;11
1997;Kvinnor;20­24;23
1997;Kvinnor;25­29;15
1997;Kvinnor;30­34;27
1997;Kvinnor;35­39;30
1997;Kvinnor;40­44;28
1997;Kvinnor;45­49;33
1997;Kvinnor;50­54;47
1997;Kvinnor;55­59;29
1997;Kvinnor;60­64;17
1997;Kvinnor;65­69;12
1997;Kvinnor;70­74;26
1997;Kvinnor;75­79;15
1997;Kvinnor;80­84;18
1997;Kvinnor;85­89;8
1997;Kvinnor;90­94;2
1997;Kvinnor;95+;­­
Socialstyrelsens statistikdatabas 2022-03-15
